Diffusion_Index,Survey,TimePeriod
-22.4020938030165,22-Nov,2018 forward
-21.898571860117,22-Dec,2018 forward
-24.6507985324436,23-Jan,2018 forward
-25.8677987686114,23-Feb,2018 forward
-25.816794887717,23-Mar,2018 forward
-26.0069613261387,23-Apr,2018 forward
-19.5518900607514,23-May,2018 forward
-25.5221317362055,23-Jun,2018 forward
-24.6326317901775,23-Jul,2018 forward
-29.3458111522549,23-Aug,2018 forward
-28.5171654891329,23-Sep,2018 forward
-23.1250498260173,23-Oct,2018 forward
-26.926699446448,23-Nov,2018 forward
-35.4670239799406,23-Dec,2018 forward
-25.4934609308683,24-Jan,2018 forward
-21.7666254753715,24-Feb,2018 forward
-20.8894729927375,24-Mar,2018 forward
-22.7204860143724,24-Apr,2018 forward
-25.42212177607,24-May,2018 forward
-26.1888778262341,24-Jun,2018 forward
-29.296040940029,24-Jul,2018 forward
-27.9945077022413,24-Aug,2018 forward
-29.1830712326066,24-Sep,2018 forward
-25.5096857308687,24-Oct,2018 forward
-26.5638482119723,24-Nov,2018 forward
-24.4768023038949,24-Dec,2018 forward
-25.9448534599117,25-Jan,2018 forward
-25.5459002075807,25-Feb,2018 forward
-23.7291299913299,25-Mar,2018 forward
-29.9867257431793,25-Apr,2018 forward
-30.6153322150681,25-May,2018 forward
-28.2033787526212,25-Jun,2018 forward
-29.5291348268973,25-Jul,2018 forward
-27.5280642904846,25-Aug,2018 forward
-31.2531108184931,25-Sep,2018 forward
-29.994105813816,25-Oct,2018 forward
-28.1873601404478,25-Nov,2018 forward
-27.0329692285252,25-Dec,2018 forward
-24.08038520812988,26-Jan,2018 forward
-22.73625564575195,26-Feb,2018 forward
-23.65426063537598,26-Mar,2018 forward
-25.64377021789551,26-Apr,2018 forward
-40.82575980392157,11-Oct,Entire Series
-38.76498400166717,11-Nov,Entire Series
-35.69921947217667,11-Dec,Entire Series
-33.52132964010788,12-Jan,Entire Series
-34.60463710477065,12-Feb,Entire Series
-30.30794713062003,12-Mar,Entire Series
-32.39148849642602,12-Apr,Entire Series
-30.27538157518187,12-May,Entire Series
-23.28151783685387,12-Jun,Entire Series
-30.04730656025447,12-Jul,Entire Series
-32.63009735324987,12-Aug,Entire Series
-27.85828350464541,12-Sep,Entire Series
-34.84267513301783,12-Oct,Entire Series
-33.28352124784023,12-Nov,Entire Series
-27.00237636087436,12-Dec,Entire Series
-33.81366796038414,13-Jan,Entire Series
-30.63951808205586,13-Feb,Entire Series
-28.79821023703431,13-Mar,Entire Series
-28.65230421613413,13-Apr,Entire Series
-25.11940437152889,13-May,Entire Series
-22.250209079907,13-Jun,Entire Series
-23.85043905327855,13-Jul,Entire Series
-25.70475872557183,13-Aug,Entire Series
-24.78643522039534,13-Sep,Entire Series
-29.17134977027496,13-Oct,Entire Series
-29.97487934391309,13-Nov,Entire Series
-25.72313890998408,13-Dec,Entire Series
-28.80908504137627,14-Jan,Entire Series
-24.11233721822839,14-Feb,Entire Series
-31.74865443055199,14-Mar,Entire Series
-25.23179022370141,14-Apr,Entire Series
